time,ACCESS-ESM1-5,CanESM5,CESM2,CESM2-FV2,CESM2-WACCM,CESM2-WACCM-FV2,CMCC-CM2-SR5,CMCC-ESM2,EC-Earth3-CC,EC-Earth3-Veg-LR,GFDL-ESM4,INM-CM4-8,INM-CM5-0,IPSL-CM5A2-INCA,IPSL-CM6A-LR,IPSL-CM6A-LR-INCA,MPI-ESM-1-2-HAM,MPI-ESM1-2-LR,NorESM2-LM,NorESM2-MM,SAM0-UNICON,TaiESM1
1850-01-01,1238.006249883797,182.85709227913722,1787.748090351408,1963.1716132532858,1788.6631905192621,2020.1434189564577,302.13604542133595,302.4309621616182,741.643120198449,754.6747097463184,1158.3969803424004,291.9971815599995,293.18300454704615,302.7980809742848,486.19174177267064,492.06288558575267,652.0612171065957,582.2977534483558,627.9275959336062,503.3964311548653,1116.7904439357278,310.8696315863355
1850-02-01,1241.4745503434465,185.14199308706546,1796.5942725809848,1976.3012529228206,1796.8634767057497,2026.5927488688046,301.6307045846943,303.18061333107437,746.9215361823939,762.688673451401,1162.5169122364778,293.13406909326545,295.647299924984,307.3470277457652,491.25795561972325,498.05579150714686,654.2833717793416,588.8780008737016,627.274941350573,506.42978442134824,1117.6387045860636,312.1483553796024
1850-03-01,1247.2460734461802,186.76371431937312,1799.1431041055146,1979.7511058436464,1799.9891801489825,2023.050529552661,301.4202745565674,302.09853677724533,752.3768616058946,766.9257210056336,1163.530169730631,294.20000616749047,296.42420138264936,304.86275034337837,488.25313416641615,492.66502366761375,651.5619737863965,591.2233112796596,625.6954608182829,507.2390237532629,1113.6800814083097,311.2024463763181
1850-04-01,1247.2589653297052,187.49015719532997,1797.966064110082,1976.466148941744,1801.351619441189,2014.321235539845,300.33356739699184,299.44725018974196,754.3709320492329,771.7952698588809,1163.5801929209829,293.60565275812985,296.1962577511205,303.11693241511546,475.8082983574174,482.61777432190496,649.7109841694366,590.4674970383571,624.2585041425777,509.25824591178053,1112.0880685699356,310.78821774654597
1850-05-01,1232.7624459577198,185.36976180476853,1793.0420103915033,1976.14963831193,1796.8232204733408,2005.6665408634765,297.85189644072096,297.62414562852047,744.0647816115127,764.58576423306,1160.272161532807,291.68091888803326,295.31125351034046,302.8910678743514,464.67069637622916,469.7363142246768,643.4362456831433,580.6049143971617,620.5327200007071,509.112623991189,1109.320296940356,308.61688762159804
1850-06-01,1227.953822545706,185.44824688090847,1785.674464167279,1977.3229722151486,1798.2159431276618,1997.9686201833986,295.66056291445443,296.4643045217159,733.7792356728279,754.0881089585813,1158.117837053062,288.13432694652624,291.863795224371,301.82937349134636,457.9790425124651,458.7393251875829,627.6286284151365,570.297273521386,619.7956141251352,509.23719754335565,1110.4734883919289,307.07280238339706
1850-07-01,1231.9526607776559,184.8291519205865,1781.5153924205447,1977.1905053402431,1801.1900167908152,1982.1906553196682,294.7896443281591,294.4357338676776,729.9441091996715,751.4708625660461,1160.33386228277,286.76918536170155,289.369526015376,301.7344722638174,459.86150703304116,456.810308499084,616.3127268582293,562.482469798962,619.7341692331372,509.1492393859795,1103.982768908636,305.39635511861866
1850-08-01,1232.2685318544416,182.5209433965189,1772.3286545795033,1981.0753561354904,1795.4084559069543,1962.322664360949,292.8610848428085,291.9676577032213,729.0281613140829,747.3385105576509,1161.97202202093,287.4926251885347,289.36781023389517,302.8011661040131,457.89286803004694,457.23731694160125,614.7901468577273,566.1169514344995,620.3830089448068,508.8515380246496,1098.2584327499724,301.9474903053509
1850-09-01,1228.2545265594526,180.42630608599757,1767.007702851034,1976.7969657291173,1785.0361646677397,1940.5888962799352,291.2490886848627,290.640062747062,730.3120661801677,743.770134656966,1162.0677173325714,287.72154487328777,288.62537460761075,299.600725877635,457.28771914389375,458.24574559734185,619.5180587346883,569.3766840801725,620.0425330581639,507.4776994611047,1090.8402896624248,299.79966374233584
1850-10-01,1220.7116087797983,180.24262278270356,1753.523179830468,1973.0923726857557,1771.6320401938804,1914.3038449085484,290.21290264376023,291.4940115634688,727.3206992474421,740.7967260671833,1161.4548450937405,288.235663964038,288.15702335465306,292.56452602794167,454.23177891594634,453.99131594730005,627.8243543356419,566.2274494205789,617.7696031325221,504.92561809556656,1087.041377185985,298.05522479308274
1850-11-01,1223.112934602701,181.86492806384317,1750.1651908017607,1972.2239733748195,1767.3548202304655,1919.0529080810545,293.5559011672036,293.52676013865533,733.1341752551185,739.4599331584924,1161.6224079093006,287.67663334696147,289.85762764510986,287.85904521318787,460.8031972634878,457.70217206054116,633.6085142077875,568.8527162387859,617.8400167614553,504.07850951768035,1087.4729049554223,299.6708456133048
1850-12-01,1228.4005379278537,184.97423666474367,1757.151713350114,1978.3218960733216,1781.9765077879003,1944.5514654498684,296.54332430303157,295.79446882975463,738.4800480655997,746.875157008059,1162.6492243919686,289.0868229895006,292.6676519103998,288.0871498674993,468.5014110214458,465.25047380341147,639.077285473951,581.8440540390601,620.1904986330338,504.8836128376543,1101.4501030100441,305.5711614119838
1851-01-01,1237.1005178853336,189.1022540381716,1766.1690543746397,1998.8186009346364,1799.8139586947816,1972.5643495760205,296.93082416776065,296.7430569733352,747.0117781857195,760.3682719477922,1165.2072051124326,290.58047422849626,296.5880256059836,297.9057786838852,482.0951464204732,480.06435716624117,643.5265166529844,591.6228845748614,624.092354904227,507.67628766857155,1107.7407270014014,309.1822514672879
1851-02-01,1243.9914289045828,191.3283264213251,1770.067664552277,2015.7705461223015,1814.2864379645416,1986.6482588174438,297.60230802345734,296.9657692396181,748.740262502463,775.2408276308875,1168.1418538317425,292.3662904755938,298.4954962099786,303.5907817272983,492.470608497919,488.0658489336923,648.5508227277438,601.4354283981015,623.9381479012558,510.7151877814876,1104.211277981258,311.1130523149227
1851-03-01,1243.1258785928612,190.20827411757142,1779.855643776782,2024.3618962950413,1821.0213671001045,1985.2095962426663,297.5706758683457,296.3803683971016,754.9108576125442,783.992159424205,1168.4945813536222,294.2239190808236,299.7585037712029,309.77978645032795,487.1496017394841,487.9555813748277,641.1015862765564,596.0739990233174,620.8126856182084,512.0441492134765,1104.6845883376093,311.5114890825355
1851-04-01,1240.0208747828842,190.55036915909582,1785.105693683853,2024.9679516994897,1821.5066206037857,1985.7640452797873,296.945536602345,295.22640080185505,756.1359643192629,779.1364778731305,1167.112964061292,293.6956166659576,298.64284989431405,307.76270600207357,475.2335049141208,474.67045381420456,634.4244436479084,589.4224404762883,618.607448312579,512.1923805249781,1100.1028219438783,308.8033464313751
1851-05-01,1233.9529467972632,190.6122546490856,1777.7009124889316,2020.5785738059913,1819.5510208979947,1981.6526880386257,296.94843037157375,296.3910521608805,749.0264858642041,770.1058533371759,1163.5301182770095,291.2658848981907,295.51014430611036,303.75488163032685,464.29628361775934,463.87193439717873,626.837486903898,577.1752422166205,615.533854560172,512.1482718437328,1097.79329782685,306.81621808840976
1851-06-01,1229.2762995827877,191.48735563771825,1771.1491965087785,2009.7130242108733,1818.7019889071994,1972.9899982676548,296.4823485628307,295.3697546716885,741.3710625992996,764.1717779292879,1164.3056703706911,288.4827548958755,292.2826991041578,302.9814862925075,456.0894613881058,457.05450795662296,615.5924092348729,564.1486701386768,610.9561247198889,511.1735415913238,1095.8394566257782,304.7770875598644
1851-07-01,1229.792160304824,190.12676798155653,1776.173700240531,2002.5645472119506,1820.04879256477,1982.3999545748966,296.02015286381857,293.11275669250165,732.5398763698994,758.3544299313389,1165.7560378468454,287.07993413811147,290.1827322037737,303.1065118540748,456.57817516548283,456.2738707667387,605.2842900808171,557.8514500310149,612.7472443969253,510.6296890695753,1089.8245351017897,303.7892491043627
1851-08-01,1224.1272982101623,188.006533443897,1784.7098850328107,2000.5166894592417,1815.3680599370048,1993.1060883444566,295.7122617667135,292.048529868205,730.5349111494817,752.2369227894609,1166.7205913610637,286.7303424276966,289.6576086197061,305.7848606946964,458.7173600116595,456.95473578915926,599.6771224317669,557.597230537997,616.5523417454383,510.9853047235135,1085.3726272346905,302.7580108087047
1851-09-01,1225.2371289879718,185.91964128220116,1777.2539092121062,1991.321495814813,1807.5016073438765,1993.6120745600724,296.8916964500153,291.86392817381113,729.1192382348947,747.4679763415269,1165.7860862390735,286.12065075482985,289.2322198298286,303.87455874181273,458.5715619319313,454.0212575007631,602.332150938859,552.3335856270716,615.6031346316427,508.26189873285534,1083.2094064050416,304.3430563065663
1851-10-01,1225.1896129212826,184.15341446418225,1767.8809552525279,1979.180425317527,1794.7131159680912,1986.903388591369,297.7621437290712,292.5851586990486,728.8959218778928,746.8160632307217,1165.1046902978856,285.4814503582804,288.9444984097853,298.36889239651146,459.07915280208437,448.4541077104361,602.8286979445724,551.9102814014386,609.624811323904,505.372060226819,1078.95098823551,305.5711862084505
1851-11-01,1226.4285669467213,183.21912996874715,1764.2063951716846,1979.0528877872985,1795.6007842882282,1987.1471612038847,299.6528293948158,294.0664023411906,735.7273898885024,748.3716722891467,1162.7373342326885,285.8018262638816,287.9428001222176,292.68481328933154,464.47049054799277,450.60589880213485,605.6953611762575,557.0952091597255,609.8763378134101,503.38183649261333,1084.7454332701584,308.3716304308461
1851-12-01,1236.205010026426,186.7613653225094,1774.716328484401,1988.5921870739198,1805.2249254015248,2006.5230054389406,303.54602961933654,295.98277421844114,747.166145059986,758.4873094243868,1163.6601252940268,287.5893754097976,288.81136688039606,296.9601167641816,475.34937033284285,463.1087626767191,614.9938203786886,570.5266312994382,618.2344919239932,506.1283558148919,1094.4701382352437,312.94863192164473
1852-01-01,1246.0523014246296,190.5898477575427,1798.028178724945,2000.5623292120638,1815.0874005314813,2024.480299557884,305.1495315341225,297.993454175706,756.0828511916286,766.3229676653444,1168.3385303511295,290.64863868173944,290.4796378263659,305.1590214833169,487.7728244739122,473.14789955221,623.1511887935802,580.9287134375413,624.623641873289,508.6546908119716,1106.621931198041,315.8162937280363
1852-02-01,1244.0684283996573,192.28579165232284,1812.2931189696153,2005.4579982464102,1826.5337740952125,2033.4526674517163,306.4347803481159,296.85022975792003,763.3887116731397,772.9576519406913,1171.2160075638596,292.43210938017836,292.4396517140538,307.13080794163415,488.75393856335893,481.1589321026679,633.9146064791017,593.1253279221754,625.892253799361,509.3791028735669,1111.7315172127194,317.08267189914665
1852-03-01,1243.112328056776,192.18713815230058,1823.4767954026242,2006.7768790934715,1831.4394836698423,2034.2573801022686,306.3103606752166,298.61721822673513,765.051432156506,777.4733590921783,1170.41158961657,294.62437552513336,295.0154274548296,308.20621136187054,487.63105252528834,484.6243753165164,637.1409979530962,593.5610245975247,625.9408260450496,509.9370446141386,1113.682402840699,314.8466211504929
1852-04-01,1238.3435943121501,191.383415979723,1831.5820791536212,2004.7867161067202,1825.5679311491629,2029.656441510362,304.5703691521306,299.7255177563026,761.8924732508822,773.5218869030628,1167.9992122029212,294.86168026475826,294.72254121906155,306.76898935649797,479.60117531151815,476.9946470861047,630.1094864837715,585.5420446162699,626.3154689465721,508.08839848488736,1105.3412327531037,312.85231108315963
1852-05-01,1233.1312907092092,190.8309922710503,1824.5566282031143,1993.6150365765359,1818.6081926317988,2009.9209240966172,302.8243633868104,298.6187086588922,745.3776922568909,761.5783769824611,1164.4653808577689,291.2153833233717,291.97604226330657,305.66424819814364,464.5004938638739,465.53309726279747,616.7562376103216,573.8730110924243,624.2357249029814,507.8846299261184,1097.2149296208065,310.95315831043075
1852-06-01,1225.8546118825814,190.48466886149012,1821.1704564562265,1984.9427025407308,1811.934534964514,2009.117976601415,299.9623958821546,296.5293539537747,737.9673317603064,754.052360844642,1161.9560804155462,288.07498268681013,289.98940191567925,300.64279663702285,457.69339512766095,455.6617297331669,605.07528199358,560.4494091630391,624.9899329270698,508.9570418776412,1096.6980136546256,308.61560009686895
1852-07-01,1230.587867226372,189.20566725081676,1812.6617281642343,1982.82395323932,1808.3653567716265,2014.1041569126705,300.1254560925088,295.53388061155385,735.5987967894382,750.2259672605144,1156.7857709620737,287.0846765519801,287.8436549756422,295.78485743283045,457.82835919175653,454.13618401846827,600.4892518714588,555.5862255947162,625.4925188569473,510.5953195128338,1089.6862319795032,306.1356602055083
1852-08-01,1228.6899919020661,184.89069330393306,1811.8137293686132,1982.9416748264964,1803.16610128759,2004.9723693850817,299.97051182478566,295.88599056703475,735.0645979216301,748.2831551538569,1152.5058040039962,287.041940091064,287.8467607029353,295.33962346326774,461.7937671626275,458.6521988546062,606.3355193432252,559.5298991788621,624.4362453851735,510.2072169291201,1092.0068640745967,302.1970244149139
1852-09-01,1228.2150621081962,182.6991972662951,1806.000039747591,1971.6477183298762,1793.9792017168293,1998.9961056240418,299.9411561724569,295.7164379033161,734.6288445530846,744.4876698132401,1148.8565915265535,286.75760108112854,288.3805040611419,292.54250239366945,457.42593608283016,456.6777214206287,612.634424077931,559.6493290113235,622.8461429840261,509.87156608996384,1088.6307348206317,301.4069723309287
1852-10-01,1219.0880524463832,181.33680403473164,1794.9462412309838,1966.9902853244994,1783.0215002183995,1987.2778996019963,299.2709384374678,295.56774568089173,729.8544128899072,739.5419897175904,1147.8437221455374,286.20110775813805,288.1351422010385,285.9768346873843,455.05052554073666,449.1929997865066,613.6951512108052,555.3552383970734,616.8006095325344,508.30263052512817,1085.1854045044877,300.2204529220959
1852-11-01,1218.2438848714824,180.23002732821297,1790.4169649061655,1964.276921176026,1779.4862959939317,1979.9119577156628,301.7051406396352,296.45204044163876,731.6815889177398,743.7085138110612,1149.4670119312473,286.0454058675694,288.47581152910664,280.3384546069467,458.45773507976975,448.45485796970127,614.6031091331353,566.9764610480478,613.3882180330627,506.77112729719414,1082.9425402840225,302.0881061314637
1852-12-01,1225.259176980554,182.7804249855374,1797.8495747004954,1970.0316799104146,1784.4766208533242,1986.1705760017044,304.13437263511173,298.17465101533554,740.2770439292653,747.876501757381,1153.0090105573602,288.19572086792357,290.2193149474742,283.02639432147913,467.5331981665161,461.7216235065816,623.0344528935398,574.8000213778005,616.1219947379934,509.2375326330687,1095.824737053233,304.6454633932883
1853-01-01,1233.2834022333698,185.82763254988765,1808.0349503306938,1989.255658095672,1800.5943525595362,1995.0904027712922,305.8276895295557,300.455948168653,750.083829883224,753.7076522612989,1155.9821223016847,290.88116461152987,291.32122673375585,289.8241400414055,478.4278111906159,479.6040088924201,624.4958441146952,572.5531447845768,619.8901276849168,513.8796432636653,1105.145139853537,307.0015032023015
1853-02-01,1238.0705987884662,187.97664451581903,1815.949868063739,1999.1493729030587,1814.5048756186977,2013.663451412922,306.8896569579375,301.35307685864444,759.3408953868425,764.3769100393429,1158.4426107312274,293.5452163792502,293.2995784158198,291.60755869211164,483.3108704491815,483.9255993715597,630.727142742175,576.8190129809531,623.0701646226436,518.4125384639754,1103.4974057095599,307.6780570110458
1853-03-01,1235.1743092826057,187.67399310300212,1816.5268026576505,2005.4538275976186,1821.9980399905794,2015.5108968864927,306.6501033379292,302.41448197929964,767.3927079273576,771.0350924483643,1155.9108330387146,295.0422492920731,295.462744328566,293.2166496431421,481.6632432982737,480.82302435155907,635.7502119286775,574.3536061341528,623.0560091642025,519.368728730855,1104.6049056456711,305.4009136688864
1853-04-01,1227.1653375813269,185.70710233072566,1817.6444719280069,1998.7164372018876,1824.9183836263671,1999.771689597722,304.0478014189924,302.74575053139375,768.0546789998131,767.0457360400317,1153.8216783031748,294.18789798960177,296.6015803757947,294.2121170332918,470.4021986031941,475.45065349294174,627.2725094351807,566.0799514470424,621.3385756114947,520.7026765147152,1099.1867792085163,306.44964354310616
1853-05-01,1217.697413659111,185.5787620173707,1809.447826197216,1986.1972544723194,1815.5983834797646,1991.709577337713,301.4921990633843,301.49829279127795,759.7593393825464,754.4868669835628,1154.3733507484612,291.0247027978279,293.67496666766704,292.07619393840486,460.5215379699703,464.81018880877065,618.1234509845159,552.1460333501691,621.1964846613172,520.8853571270304,1090.4651084587058,305.0352069521172
1853-06-01,1218.5676261929284,185.0531053153091,1802.5812058473928,1969.8211202839789,1809.9730365862656,1979.5623057566368,298.91685364139505,298.48113791183573,749.6346508343939,747.4438768351764,1153.2920125593103,287.4064386665451,289.7077546330303,287.66158666315977,455.3320919941101,457.6347230188785,609.1723350702135,538.9982453828719,621.6641014676259,519.4313450151019,1096.6336309325327,303.0666962865062
1853-07-01,1225.9371956551468,184.0945240667002,1801.1073613608955,1965.7753601289346,1812.8049685329277,1976.2881978395471,297.2290183862054,298.22290183188414,744.197103926495,744.3222308936696,1156.5105770352973,286.77450913980704,287.5942872366034,285.3800473659559,452.7300433327808,455.514233772623,598.7450155592101,529.6811178205929,622.6453420432539,518.8489305633241,1094.1707033089021,301.10327657620377
1853-08-01,1226.5072908583306,183.11196617357234,1796.756772227033,1957.983911370513,1812.4318960579926,1966.7051664326539,296.1547711192079,297.40464229713626,740.5516897947322,741.2030112950375,1156.0918900668792,287.6012332608383,287.902322012552,285.6559596285704,455.1231963926325,457.6506305874852,596.7507543540773,525.2145533874974,618.7480510762472,515.6288117702316,1090.3581744074424,299.0339139570577
1853-09-01,1222.3257753472355,181.02090970635783,1784.286823265022,1939.9757495347726,1796.582775738204,1954.4564939846657,293.91471506290395,297.383880774887,735.1849159861474,740.5622746593064,1157.3837335614453,288.1788286644925,287.97971311795067,283.09933136933,454.7872074141807,455.04430075136963,596.4178043393185,523.9770954203459,613.9577886038453,510.887477484121,1080.5220549048342,297.83292988193796
1853-10-01,1218.3938788223495,179.42955210831084,1768.8179606855908,1916.093634824097,1784.9726770793366,1938.2642743709996,294.25787315245935,298.0037069232004,727.44533661878,735.5285482210628,1156.6479463713931,287.24138187202317,287.46267573891254,279.78117711979667,453.1408209826149,450.9543107422935,599.6820793085428,523.7900022745325,608.0277562094519,506.48732695269854,1071.2162663836923,296.82162410017287
1853-11-01,1209.9947132203713,178.8396366037366,1765.2501235118327,1926.021783057351,1777.5947368450181,1936.667944735064,296.2164101257703,298.81204204166306,726.6925108640177,736.3332924582008,1155.3990508657475,287.0798814003615,287.691407144239,273.8713872478369,455.6212397478866,450.54949657838205,608.8904985700807,532.0267576444038,607.5035817994353,505.7880758615765,1080.2460360156103,299.97901917232934
