time,ACCESS-ESM1-5,CanESM5,CESM2,CESM2-FV2,CESM2-WACCM,CESM2-WACCM-FV2,CMCC-CM2-SR5,CMCC-ESM2,EC-Earth3-CC,EC-Earth3-Veg-LR,GFDL-ESM4,INM-CM4-8,INM-CM5-0,IPSL-CM5A2-INCA,IPSL-CM6A-LR,IPSL-CM6A-LR-INCA,MPI-ESM-1-2-HAM,MPI-ESM1-2-LR,NorESM2-LM,NorESM2-MM,SAM0-UNICON,TaiESM1
1958-03-01,-0.006602003549491296,-0.008041345048727475,0.0,0.0,0.0,0.0,,-0.01184994585205493,-0.010202375047334827,,-0.02246637565940922,-0.006616995104946717,-0.0035455611562255087,0.0008213258427824971,-0.01043217798872522,-0.019014826699547772,-0.008254515169948887,-0.012867889266282032,-0.010867980172019977,-0.010675153932475031,,
1958-04-01,-0.006513844713320725,-0.007454433097403769,0.0,0.0,0.0,0.0,,-0.012773890151905951,-0.010547668475408677,,-0.02193747458568225,-0.007119570002313053,-0.002810301140029087,0.0013069735844762004,-0.012564696826042776,-0.01702748496510257,-0.007580619892299312,-0.01241071420409259,-0.011732275926752907,-0.010342068608762743,,
1958-05-01,-0.006482689147131293,-0.0069679173152584345,0.0,0.0,0.0,0.0,,-0.012889969730626082,-0.011678023869217655,,-0.022789197725585318,-0.007321458978984343,-0.002669521055035234,0.002174505072113097,-0.013601842009408463,-0.015703726363576496,-0.00649793943818983,-0.012244511527000214,-0.011669689049942445,-0.010475126819374046,,
1958-06-01,-0.007132240779123267,-0.007149222037719835,0.0,0.0,0.0,0.0,,-0.013108969996037504,-0.011160454675895846,,-0.02166596388121411,-0.007717548570450143,-0.002707046718566652,0.0028724164068823967,-0.014766957941283455,-0.013865439125275143,-0.006046142560580753,-0.012269483502450017,-0.012828248741077165,-0.010906204654512652,,
1958-07-01,-0.008416008763422292,-0.007625897132639557,0.0,0.0,0.0,0.0,,-0.012347616857539493,-0.01102445335464355,,-0.02170818360276259,-0.008053169934745238,-0.001954555019714357,0.003902850308329692,-0.016118603388273922,-0.013872783667066412,-0.005526194955401934,-0.010266910630118224,-0.013074470745075277,-0.010759947687944884,,
1958-08-01,-0.011340651408082927,-0.009037504334624226,0.0,0.0,0.0,0.0,,-0.012102625625362077,-0.010498967255237333,,-0.019660183913743356,-0.008172047926334318,-0.0011812104223602332,0.004347447365451575,-0.017582852044551674,-0.012776923068406325,-0.005954442607750773,-0.009433623171018982,-0.013519773529542558,-0.010906935168624333,,
1958-09-01,-0.012107962010024209,-0.0097697489222234,0.0,0.0,0.0,0.0,,-0.011625376022322756,-0.0109538962506972,,-0.01795451803215965,-0.008080089755117864,-0.0012883831582959466,0.00450192726191424,-0.018963293759321764,-0.012386136646937683,-0.00491824473312142,-0.00821638509587284,-0.014199598273552936,-0.011070064478950467,,
1958-10-01,-0.012303813401423402,-0.00998389146982322,0.0,0.0,0.0,0.0,,-0.011682308485634136,-0.010932018700582557,,-0.017671109279834618,-0.008188355853447458,-0.0008273737369928367,0.004331075300769636,-0.020369287601171723,-0.010778205674618513,-0.005123281728458512,-0.007685428885333637,-0.014101425194081188,-0.01164272878723404,,
1958-11-01,-0.011883566442104882,-0.009764679095149496,0.0,0.0,0.0,0.0,,-0.011595245894705609,-0.011708560131967067,,-0.016765269647781005,-0.008218552313273546,-0.0006901839744581778,0.004603378947182266,-0.021389775963787556,-0.009979259208746653,-0.005622518718139232,-0.007468269770011328,-0.01516412958681107,-0.01088529509076461,,
1958-12-01,-0.011491436656223031,-0.0097313556915214,0.0,0.0,0.0,0.0,,-0.01089104110578552,-0.01138311941285578,,-0.015953876868672154,-0.008517595600314124,-0.0001806002040286624,0.004778876682715477,-0.02219370130474366,-0.009430057813450786,-0.005961926295351452,-0.008376410845372783,-0.015409087165188663,-0.011960062546731324,,
