time,ACCESS-ESM1-5,CanESM5,CESM2,CESM2-FV2,CESM2-WACCM,CESM2-WACCM-FV2,CMCC-CM2-SR5,CMCC-ESM2,EC-Earth3-CC,EC-Earth3-Veg-LR,GFDL-ESM4,INM-CM4-8,INM-CM5-0,IPSL-CM5A2-INCA,IPSL-CM6A-LR,IPSL-CM6A-LR-INCA,MPI-ESM-1-2-HAM,MPI-ESM1-2-LR,NorESM2-LM,NorESM2-MM,SAM0-UNICON,TaiESM1
1958-03-01,0.8258322731646144,-1.3624042957178246,-0.26345689654082194,-0.2119058193622356,-0.7147536437035612,-0.14437166842003274,1.7770382757109084,-0.7262619063976491,0.045372243181820066,-1.211022496215224,-0.8207721365533514,-2.7256407870310406,-1.1221321881482325,-1.0952786045312541,-1.5245939931922199,0.4440343952882623,-0.8886903783180822,-0.0011711685883727327,-0.5764860724930824,-0.23074130511783755,1.9464834030643245,1.4827524534932142
1958-04-01,0.7463309943515458,-1.4720198962827657,-0.22737708132686169,0.05930299587625428,-0.7146470694963986,-0.1321155622062403,2.065785620593613,-1.0634825637898846,0.06209753270632702,-1.398859762580699,-0.9941578580865656,-2.597523189703259,-1.0991382023413474,-1.171140177481157,-1.6975082040264151,0.5200745888577647,-0.9372221379561256,0.04527205644523393,-0.7280009926420519,-0.3189325984602394,1.8250251955830223,1.6522291040469153
1958-05-01,0.8542115822104634,-1.4970341129992355,-0.23980524432623695,0.3870950970992564,-0.658228319390948,-0.06552380053465687,2.3159204029639477,-1.288059621869035,0.5048058057749283,-1.8239644658614151,-1.2330163114860693,-2.487251021083748,-1.0503576876692557,-1.285614568101645,-1.9104093021769903,0.6551004634187568,-0.7895670073724415,0.05891249043681734,-0.8502757913574364,-0.3709879637506101,1.8449626907881114,1.6986596805241276
1958-06-01,0.8634860073185427,-1.2927408955843478,-0.22551037155072387,0.5243562787506144,-0.5919360043273845,-0.049671275884903776,2.4973193047415396,-1.4268551191711962,0.4500922702988137,-1.8978770236571199,-1.6500811166385083,-2.3582575939577595,-0.9226321555448923,-1.458584002229718,-2.1033807194318004,0.7150690072630933,-0.6307617320960489,0.007538742906374331,-0.9449307801592327,-0.42137625116950034,2.0428790866607205,1.718904351134893
1958-07-01,0.84266025368674,-0.8946810727237507,-0.28766595197759864,0.5896510732933737,-0.6133846186896194,-0.08358843443458329,2.4899630049902335,-1.5271600323546164,0.4971992048086008,-1.747467007637877,-1.8157142348015007,-2.1974706734295255,-1.0163805930477499,-1.725643580706011,-2.1512488456300694,0.6452026541596889,-0.5402151396044105,-0.08834581769316305,-1.1243446532482115,-0.5107266089502657,1.965354902391851,1.6496299488650534
1958-08-01,0.6961981262256489,-0.5572984913092942,-0.37770775636661824,0.6247293942516934,-0.6550675316183401,-0.12275801513547635,2.5090291834602807,-1.728882171097384,0.6158290994839486,-1.8710363813710278,-1.9932857491402107,-2.162404474191168,-0.8177360998190751,-1.8232353022963972,-2.1557870365900147,0.5857198608433709,-0.2795652426062566,-0.2623730656937662,-1.2668311043877194,-0.5506733147039281,1.7633681795562692,1.5283989775579048
1958-09-01,0.7705275300761797,-0.17449694261557916,-0.4670245726858536,0.615793798414613,-0.641856914933177,-0.21070110513483473,2.3826455546346175,-1.9302983840843486,0.7116595553804849,-1.8306660906033678,-1.8564119100194094,-2.0902797911708926,-0.8908461694019345,-1.8046273310737984,-2.080480135396307,0.5417830798619917,-0.17326126452495103,-0.1824550516424595,-1.4039227492280755,-0.6550521759848255,1.6918973279044156,1.3644980155647006
1958-10-01,0.8130256593886396,-0.0004795522214930126,-0.5315341973277445,0.6325298607016698,-0.6880043490330585,-0.36682302756692325,2.283033657592484,-1.8692300801425343,0.8147769592805969,-1.4340197243518662,-1.9610705158888468,-1.6890740220315796,-1.228252008365011,-1.7387871941841524,-2.007938829656311,0.43268035368397745,-0.18417760779590886,-0.28765896859486556,-1.6319598104259214,-0.6937407348671538,1.5871226401249658,0.9531063543520453
1958-11-01,0.8088917120308128,0.029962601492366403,-0.5835790145777159,0.584213911128758,-0.5933202181285201,-0.5222418547223003,2.1491490425775237,-1.808557518866275,0.9767811484774466,-1.366740519646125,-2.225425613077687,-1.2306292522084867,-1.3258510314173113,-1.4352471862874807,-1.7453616837535264,0.25258871471922906,0.20863004011810105,-0.23294440030666486,-1.7532179558741525,-0.6654568128069263,1.4966968778444003,0.6141336021990298
1958-12-01,0.8115258643197462,0.24091166856493068,-0.629370276050022,0.47459755098031753,-0.46895260882155654,-0.6115916506554764,2.048395661001014,-1.7976192557425488,0.7814477521988124,-0.9227818880252656,-2.637003648826413,-0.8840890099378769,-1.16749473777509,-1.0794898755772102,-1.2820112829791097,-0.10970390732845264,0.45458218757262736,-0.37984691347008176,-1.8547930538423083,-0.721664214080922,1.4293529091477484,0.24998158017672795
