ACCESS-ESM1-5,CanESM5,CESM2,MPI-ESM1-2-LR
26.655456531275664,26.639840048825636,27.787586728632753,23.196852363288407
26.820757053523568,26.642880875207034,28.231646394368862,23.32478002823383
27.076650532400176,26.714411380595454,28.743858820318806,23.709551515185385
26.86700624268318,27.092996104107687,29.163131440947232,24.480488974453515
27.2646642130465,27.421877883903942,29.433076924616564,24.877526605429093
27.369678762580747,26.960054726873736,29.458687433123313,25.04123420326808
27.14507695506523,26.485254486111707,29.27420776622247,24.547665498587417
26.581090993053923,25.997549267750195,28.4237147990657,24.37394986416598
25.95742256957943,25.631654427922644,27.935672358809157,24.310722233138637
25.541448132412043,25.54268263161604,27.971802162008984,24.286547699749455
25.176560396737322,25.47143415169968,28.23900823863381,24.272116184209434
24.745964026868517,25.14353498226913,28.45249428002661,24.43874624406675
24.733802439382707,24.93868643705121,28.63008169800416,24.73184457697665
24.670542342949542,25.032497888934405,28.906869481666813,25.136814065351963
24.961551949902674,24.86297490336577,29.119372478021507,25.643127811972665
25.50295325712362,24.966161602922405,28.95254389465069,26.401833300482654
26.115810285229546,25.22602171748614,28.80566803641323,26.532451225799697
26.644835585806767,25.076827170740323,28.17534091829988,26.22174228186926
26.7703567322293,24.72583593673675,27.496414759114735,25.550615570333065
26.747049299010985,24.162861032071223,25.35866065118693,24.7087995441081
26.69420043889866,24.078098559191986,24.109269199425064,24.383517229189057
26.608539941921837,24.322339800567335,23.71569176766747,24.913363229313
26.30196329420048,24.538813750437395,23.720290800666234,24.715319440583464
25.977361913875495,24.75554216486681,24.00528276801959,24.54675745386537
25.923097113401063,24.80490228214215,24.103029975830253,24.537252654224694
26.21339388031723,25.08075974042125,24.647518386382846,25.062332811310288
26.663535859581053,25.537806172131436,25.806334927190456,25.438043078675975
26.545563200154167,26.60272602935345,25.931001177806692,26.168507079790615
27.027930604293665,27.15663035922811,26.40987856437203,26.792523765769058
27.296605092293916,26.75408278886365,26.643429111969752,26.392100926398065
27.46993771517795,26.49163594730454,26.611536048570375,25.972410256861064
27.1934733870596,26.31561919911059,25.978846914551642,25.61846065438328
26.816786655661215,25.972699234678636,25.7339083394086,25.653902230777334
26.211574395411375,25.855907093881754,25.72445808745543,25.727569488557407
26.117814598008323,26.044882698804855,25.860144373685014,26.347935343625387
26.020300674767206,25.95075158226501,26.17087058671231,26.419078021957297
25.899622517780813,26.386397687248106,26.288636055780007,26.452194300362
25.607719850142313,26.57561609581996,26.67798059750441,26.860778517406356
25.98150434414561,27.332166805152884,26.911528980979078,27.326028488974885
26.04710491874867,27.776574654699264,27.289490426532296,28.221840868080463
26.603360895106338,27.87315474191005,27.894982511695748,28.098934629380068
27.002285531346885,27.34585077534126,28.200456209991163,27.837017474532033
27.245368407635006,26.755603183133164,27.885781835172477,27.162706322041913
26.99364209699442,26.252636139505217,27.271423244938976,26.328722903964596
26.833739596267613,26.053890089639502,26.842208892149838,25.840342868043457
26.562507775221363,26.228260814138334,26.82791433736964,26.41106073227518
26.363768488757202,26.32198188937271,27.039288235561514,26.517622329482386
26.367662387567986,26.40169863116136,27.126509572347132,26.408483137829954
26.18877599912157,26.411705315928828,26.911102474629192,26.1545845191648
26.371839440310957,26.277048817665776,26.93877938919522,26.084155080394645
26.276398011192306,26.818713050221124,27.502237103272645,26.38369825256708
26.483653040074042,26.920392698942045,27.85690060816273,26.43001333368163
27.357111395960576,27.08608165226259,27.74340933609282,26.435225620526577
27.593422955882623,26.430536800131524,27.485918667934556,26.198851035508238
27.49194905842401,25.917020260469354,26.762733587761208,25.515968523367402
27.212060903947197,25.200813010807646,25.398253134727913,24.38570176536871
26.887749362342838,24.79824718806401,24.55662731235341,24.060647051102862
26.86312064709804,24.597866297286032,23.914270171606685,24.21679196909435
26.489240686881157,24.728617274414695,23.71642730646337,24.28844489683304
26.38605680381644,24.689020459848567,23.87054768723921,24.119998333202158
26.206015291481727,24.920562547834013,23.787744556100037,24.07037725389405
26.217405012935927,25.079028323347604,24.274685770256642,24.370781051132287
25.680429754997547,25.692137677213594,25.183605660800545,25.217986843768205
25.498440431991774,26.048903851715025,25.688554567547218,25.523595038033363
26.128190179147435,26.233779376063186,26.2392976453453,25.696118235356717
26.707235009627144,26.182977545911555,26.474278411330335,25.21928795634573
26.945672377937953,26.051470779603882,26.441712916341803,24.572298612025637
26.982811652365278,25.742509823928554,26.278171693150373,24.021857500718845
26.65588532115927,25.716032229394596,26.004163161436793,24.02458073155525
26.640954891813223,25.75797634451653,25.92527695574937,24.210523829951743
26.3881788050717,25.715339564109012,25.956679611265624,24.346598653120203
26.170011638737368,25.53023973807718,26.35863493959027,24.157841068384844
25.99998116114446,25.621990130995446,26.650394162026718,23.96878164839013
26.31700204197356,25.702618582197523,27.039675380023436,24.555427295254816
26.668971556124163,25.776897597239778,27.31169538336826,25.057742378182944
26.457967261821537,25.94413582305954,28.144884467935547,25.88531494783142
26.696201489641826,26.261332265876362,28.32858213124172,26.343311421081356
27.165886032648277,26.182135445192802,28.153125159333268,25.893760902797997
27.29016682009441,25.977727867216377,27.60022553314521,25.141272633488516
26.91790886483154,25.468116113448925,26.9195640084191,24.64890901870173
26.32458957581826,25.265806126352853,26.37258620688766,24.754956930363495
25.970397682196,25.539534730358636,26.165102436539726,24.930918286100404
25.46599633728922,25.786179490496238,26.26183551672925,24.964460967489998
25.017901520087715,25.954093261797638,26.405003226779634,24.79854616965288
