time,ACCESS-ESM1-5,CanESM5,CESM2,CESM2-FV2,CESM2-WACCM,CESM2-WACCM-FV2,CMCC-CM2-SR5,CMCC-ESM2,EC-Earth3-CC,EC-Earth3-Veg-LR,GFDL-ESM4,INM-CM4-8,INM-CM5-0,IPSL-CM5A2-INCA,IPSL-CM6A-LR,IPSL-CM6A-LR-INCA,MPI-ESM-1-2-HAM,MPI-ESM1-2-LR,NorESM2-LM,NorESM2-MM,SAM0-UNICON,TaiESM1
1958-03-01,0.8192302696151231,-1.370445640766552,-0.2634568965408219,-0.2119058193622356,-0.7147536437035612,-0.1443716684200327,1.7770382757109084,-0.738111852249704,0.0351698681344852,-1.211022496215224,-0.8432385122127606,-2.7322577821359872,-1.1256777493044579,-1.0944572786884714,-1.5350261711809452,0.4250195685887146,-0.896944893488031,-0.0140390578546547,-0.5873540526651023,-0.2414164590503125,1.9464834030643243,1.4827524534932142
1958-04-01,0.7398171496382251,-1.4794743293801693,-0.2273770813268616,0.0593029958762542,-0.7146470694963986,-0.1321155622062403,2.065785620593613,-1.0762564539417905,0.0515498642309184,-1.398859762580699,-1.016095332672248,-2.604642759705572,-1.1019485034813763,-1.1698332038966808,-1.7100729008524578,0.5030471038926622,-0.9448027578484249,0.0328613422411414,-0.7397332685688047,-0.3292746670690021,1.8250251955830223,1.6522291040469153
1958-05-01,0.8477288930633322,-1.5040020303144939,-0.2398052443262369,0.3870950970992564,-0.658228319390948,-0.0655238005346568,2.3159204029639477,-1.300949591599661,0.49312778190571066,-1.8239644658614151,-1.2558055092116547,-2.4945724800627325,-1.0530272087242907,-1.2834400630295322,-1.9240111441863987,0.6393967370551804,-0.7960649468106312,0.0466679789098171,-0.8619454804073787,-0.3814630905699841,1.8449626907881111,1.6986596805241276
1958-06-01,0.8563537665394195,-1.2998901176220676,-0.2255103715507238,0.5243562787506144,-0.5919360043273845,-0.0496712758849037,2.4973193047415396,-1.4399640891672338,0.4389318156229179,-1.89787702365712,-1.6717470805197223,-2.3659751425282094,-0.925339202263459,-1.4557115858228358,-2.118147677373084,0.7012035681378183,-0.6368078746566296,-0.0047307405960757,-0.95775902890031,-0.43228245582401287,2.0428790866607205,1.718904351134893
1958-07-01,0.8342442449233178,-0.9023069698563903,-0.2876659519775986,0.5896510732933737,-0.6133846186896194,-0.0835884344345832,2.4899630049902335,-1.5395076492121558,0.4861747514539573,-1.747467007637877,-1.8374224184042633,-2.2055238433642708,-1.0183351480674643,-1.7217407303976815,-2.167367449018344,0.6313298704926226,-0.5457413345598123,-0.0986127283232812,-1.1374191239932867,-0.5214865566382104,1.965354902391851,1.6496299488650534
1958-08-01,0.684857474817566,-0.5663359956439185,-0.3777077563666182,0.6247293942516934,-0.6550675316183401,-0.1227580151354763,2.5090291834602807,-1.740984796722746,0.6053301322287113,-1.871036381371028,-2.012945933053954,-2.170576522117502,-0.8189173102414353,-1.8188878549309457,-2.1733698886345665,0.5729429377749646,-0.2855196852140073,-0.27180668886478515,-1.2803508779172619,-0.5615802498725524,1.7633681795562692,1.5283989775579048
1958-09-01,0.7584195680661555,-0.1842666915378025,-0.4670245726858536,0.615793798414613,-0.641856914933177,-0.2107011051348347,2.3826455546346175,-1.9419237601066714,0.7007056591297877,-1.830666090603368,-1.8743664280515693,-2.0983598809260107,-0.8921345525602304,-1.8001254038118841,-2.0994434291556288,0.5293969432150541,-0.1781795092580724,-0.1906714367383323,-1.4181223475016287,-0.6661222404637759,1.6918973279044156,1.3644980155647006
1958-10-01,0.8007218459872162,-0.0104634436913162,-0.5315341973277445,0.6325298607016698,-0.6880043490330585,-0.3668230275669232,2.283033657592484,-1.8809123886281685,0.8038449405800144,-1.4340197243518662,-1.9787416251686814,-1.697262377885027,-1.2290793821020038,-1.7344561188833827,-2.028308117257483,0.4219021480093589,-0.1893008895243673,-0.2953443974801991,-1.6460612356200026,-0.7053834636543879,1.5871226401249658,0.9531063543520452
1958-11-01,0.797008145588708,0.020197922397217,-0.5835790145777159,0.584213911128758,-0.5933202181285201,-0.5222418547223003,2.1491490425775237,-1.8201527647609805,0.9650725883454796,-1.366740519646125,-2.2421908827254677,-1.2388478045217601,-1.3265412153917695,-1.4306438073402985,-1.766751459717314,0.2426094555104824,0.20300752139996178,-0.2404126700766761,-1.7683820854609633,-0.6763421078976909,1.4966968778444003,0.6141336021990298
1958-12-01,0.8000344276635232,0.2311803128734092,-0.629370276050022,0.4745975509803175,-0.4689526088215565,-0.6115916506554764,2.048395661001014,-1.8085102968483342,0.7700646327859566,-0.9227818880252656,-2.652957525695085,-0.8926066055381909,-1.1676753379791185,-1.0747109988944947,-1.304204984283853,-0.1191339651419033,0.4486202612772759,-0.3882233243154544,-1.870202141007497,-0.7336242766276533,1.4293529091477484,0.2499815801767279
1959-01-01,0.7196756836902385,0.5020663463242787,-0.8560230817492124,0.3525884800432194,-0.4588911592737444,-0.8549867794446299,1.980346624965176,-1.7746518087349785,0.5016307477457784,-0.7777082957254939,-2.6986500020613184,-0.5479333597937204,-1.0082475442306018,-0.944025594959919,-0.8991203359722731,-0.4794089784131061,0.4658611916794994,-0.5128353317438494,-1.955105854018372,-0.7969304483861398,1.3146600937012105,-0.1103524492132278
